original_class,total_samples,correct,false_positives,false_negatives,error_rate
NV,996,697,299,0,0.3002008032128514
MEL,187,163,0,24,0.12834224598930483
BKL,152,21,131,0,0.8618421052631579
AKIEC,63,61,0,2,0.031746031746031744
BCC,68,65,0,3,0.04411764705882353
VASC,21,14,7,0,0.3333333333333333
DF,7,2,5,0,0.7142857142857143
