threshold,accuracy,precision,recall,specificity,f1,fpr,fnr,tn,fp,fn,tp
0.1,0.357429718875502,0.24843260188087773,0.9968553459119497,0.18452380952380953,0.397741530740276,0.8154761904761905,0.0031446540880503146,217,959,1,317
0.2,0.4759036144578313,0.2880583409298086,0.9937106918238994,0.3358843537414966,0.446643109540636,0.6641156462585034,0.006289308176100629,395,781,2,316
0.3,0.5508701472556894,0.318974358974359,0.9779874213836478,0.43537414965986393,0.4810518174787317,0.564625850340136,0.0220125786163522,512,664,7,311
0.4,0.6231593038821954,0.35772357723577236,0.9685534591194969,0.5297619047619048,0.5224766751484309,0.47023809523809523,0.031446540880503145,623,553,10,308
0.5,0.6847389558232931,0.3953488372093023,0.9088050314465409,0.6241496598639455,0.5510009532888465,0.3758503401360544,0.09119496855345911,734,442,29,289
0.6,0.7483266398929049,0.448943661971831,0.8018867924528302,0.733843537414966,0.5756207674943568,0.266156462585034,0.19811320754716982,863,313,63,255
0.7,0.8085676037483266,0.5432432432432432,0.6320754716981132,0.8562925170068028,0.5843023255813953,0.14370748299319727,0.36792452830188677,1007,169,117,201
0.8,0.821285140562249,0.6545454545454545,0.33962264150943394,0.951530612244898,0.4472049689440994,0.04846938775510204,0.660377358490566,1119,57,210,108
0.9,0.7925033467202142,0.75,0.03773584905660377,0.9965986394557823,0.0718562874251497,0.003401360544217687,0.9622641509433962,1172,4,306,12
