model,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp
baseline,0.6579651941097724,0.3761232349165597,0.9213836477987422,0.5867346938775511,0.5341841385597084,0.824960959226458,690,486,25,293
finetuned,0.6847389558232931,0.3953488372093023,0.9088050314465409,0.6241496598639455,0.5510009532888465,0.8537174303683738,734,442,29,289
